sq_mt_built,n_rooms,n_bathrooms,floor,house_type_id,is_renewal_needed,built_year,has_lift,is_exterior,has_parking,raw_address,buy_price,energy_certificate,age
123,4,2,3,HouseType 1: Pisos,0,0,1,1,0,Avenida de la Felicidad,275000,no indicado,0
64,3,1,5,HouseType 1: Pisos,0,0,0,1,0,Calle Escoriaza,104000,en trámite,0
107,3,2,6,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",228629,no indicado,0
76,2,2,6,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",169021,no indicado,0
109,3,2,5,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",223022,no indicado,0
108,3,2,5,HouseType 1: Pisos,0,0,1,1,1,"Calle Camas, 2",220072,no indicado,0
103,3,2,6,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",235718,no indicado,0
103,3,2,1,HouseType 1: Pisos,0,0,1,1,1,"Calle de las Viñas del Rio, 16",245000,no indicado,0
143,3,2,0,HouseType 1: Pisos,0,0,1,1,1,"Calle de las Viñas del Rio, 16",260000,no indicado,0
99,3,2,6,HouseType 1: Pisos,0,0,1,1,1,"Calle de las Viñas del Rio, 16",235000,no indicado,0
100,3,2,3,HouseType 1: Pisos,0,0,1,1,1,"Calle de las Viñas del Rio, 16",235000,no indicado,0
176,2,2,6,HouseType 1: Pisos,0,0,1,1,1,"Calle de las Viñas del Rio, 16",265000,no indicado,0
87,2,2,2,HouseType 1: Pisos,0,0,1,1,1,"Calle de las Viñas del Rio, 16",190000,no indicado,0
106,3,2,4,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",256115,no indicado,0
113,3,2,0,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",261989,no indicado,0
115,3,2,1,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",273353,no indicado,0
129,3,2,7,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",297621,no indicado,0
115,3,2,6,HouseType 1: Pisos,0,0,1,1,0,"Calle Arroyo de la Bulera, 31",279778,no indicado,0
110,2,2,0,HouseType 1: Pisos,1,0,0,1,0,no descrito,135000,en trámite,0
90,3,2,2,HouseType 1: Pisos,0,1985,1,1,0,"Calle Anoeta, 59",195000,en trámite,39
60,2,1,1,HouseType 1: Pisos,1,0,0,1,0,Calle de Sáhara,126900,G,0
54,2,1,1,HouseType 1: Pisos,0,0,0,0,0,"Calle Alcocer, 39",136400,E,0
80,3,1,0,HouseType 1: Pisos,0,0,0,1,0,Calle Nuestra Señora de Begoña s/n,145000,en trámite,0
73,2,1,1,HouseType 1: Pisos,0,1999,1,1,0,Calle de Tordegrillos,127500,G,25
122,3,2,0,HouseType 1: Pisos,0,1999,1,1,1,Calle Transversal Sexta,179000,en trámite,25
98,3,2,0,HouseType 1: Pisos,0,2020,1,1,1,Villaverde a Perales,266122,en trámite,4
97,3,2,0,HouseType 1: Pisos,0,2020,1,1,1,villaverde a perales,261989,en trámite,4
111,3,2,7,HouseType 5: Áticos,0,2020,1,1,1,villaverde a perales,297621,en trámite,4
99,3,2,3,HouseType 1: Pisos,0,2020,1,1,1,villaverde a perales,251569,en trámite,4
77,3,1,1,HouseType 1: Pisos,1,1968,0,1,0,no descrito,113500,en trámite,56
85,3,1,4,HouseType 1: Pisos,0,1966,0,1,0,"Paseo de Alberto Palacios, Madrid, 86",138000,en trámite,58
90,3,2,2,HouseType 1: Pisos,0,0,1,1,1,"Calle Limonita, 5",225000,en trámite,0
133,2,1,6,HouseType 1: Pisos,0,2003,1,1,1,"Calle Flora Tristán, 1",264000,C,21
60,3,1,2,HouseType 1: Pisos,0,1960,0,1,0,EDUARDO MINGUITO,98260,F,64
133,3,3,7,HouseType 1: Pisos,0,2004,1,1,0,Calle Estefanita,275000,D,20
85,2,1,2,HouseType 1: Pisos,0,1967,0,1,0,Calle Emilia Ballester,124000,F,57
59,2,2,3,HouseType 1: Pisos,0,0,1,1,1,Calle La Pícara Molinera esquina C/ El Caserío s/n,164513,no indicado,0
59,2,2,1,HouseType 1: Pisos,0,0,1,1,1,Calle La Pícara Molinera esquina C/ El Caserío s/n,164416,no indicado,0
58,2,2,4,HouseType 1: Pisos,0,0,1,1,1,Calle La Pícara Molinera esquina C/ El Caserío s/n,165435,no indicado,0
79,3,2,1,HouseType 1: Pisos,0,0,1,1,1,Calle La Pícara Molinera esquina C/ El Caserío s/n,202629,no indicado,0
60,2,2,0,HouseType 1: Pisos,0,0,1,1,1,Calle La Pícara Molinera esquina C/ El Caserío s/n,164242,no indicado,0
121,3,2,3,HouseType 1: Pisos,0,2001,1,1,1,"Calle María de Echarri, 11",260000,no indicado,23
126,3,2,2,HouseType 1: Pisos,0,0,1,1,1,"Calle San Jenaro esquina Calle Alcocer, 1",294900,no indicado,0
134,4,2,1,HouseType 1: Pisos,0,0,1,1,1,"Calle San Jenaro esquina Calle Alcocer, 1",319900,no indicado,0
111,3,2,1,HouseType 1: Pisos,0,0,1,1,1,"Calle San Jenaro esquina Calle Alcocer, 1",259900,no indicado,0
122,3,2,2,HouseType 1: Pisos,0,0,1,1,1,"Calle San Jenaro esquina Calle Alcocer, 1",285900,no indicado,0
125,3,2,1,HouseType 1: Pisos,0,0,1,1,1,"Calle San Jenaro esquina Calle Alcocer, 1",289900,no indicado,0
102,2,2,1,HouseType 1: Pisos,0,0,1,1,1,"Calle San Jenaro esquina Calle Alcocer, 1",249900,no indicado,0
104,3,2,1,HouseType 1: Pisos,0,2020,1,1,1,villaverde a perales s/n,273352,en trámite,4
66,3,1,1,HouseType 1: Pisos,0,0,1,1,0,Calle MONCADA,104900,en trámite,0
95,2,1,2,HouseType 1: Pisos,0,1965,0,1,0,Camino Leganés,155000,D,59
74,3,1,1,HouseType 1: Pisos,0,1968,0,1,0,Calle de Paterna,100000,E,56
97,2,1,0,HouseType 1: Pisos,0,2003,1,1,1,Calle Euskalduna,210000,D,21
90,2,2,7,HouseType 5: Áticos,0,2004,1,1,1,Calle Lenguas,240000,en trámite,20
130,4,2,3,HouseType 1: Pisos,0,0,1,1,0,Calle Huerta de villaverde,257000,en trámite,0
49,2,1,0,HouseType 1: Pisos,0,1969,1,1,0,Plaza de Gómez Acebo,84000,E,55
151,3,2,6,HouseType 1: Pisos,0,0,1,1,1,"Calle Augustóbriga, 5",314000,no indicado,0
69,3,1,4,HouseType 1: Pisos,0,1961,0,1,0,Benimamet,107000,en trámite,63
170,3,2,8,HouseType 5: Áticos,0,2010,1,1,1,"Calle Calcio, 20",325000,no indicado,14
48,2,1,1,HouseType 1: Pisos,0,1971,0,1,0,Calle Eduardo Minguito,89000,E,53
98,3,2,7,HouseType 1: Pisos,0,2001,1,1,1,"Calle Flora Tristán, 10",284900,no indicado,23
50,1,1,7,HouseType 1: Pisos,0,2008,1,1,1,"Calle Lenguas, 18 B",135000,en trámite,16
136,3,2,5,HouseType 5: Áticos,0,1999,1,1,1,Calle Transversal Sexta,230000,en trámite,25
80,3,1,3,HouseType 1: Pisos,0,0,1,1,0,no descrito,163000,en trámite,0
95,3,1,2,HouseType 1: Pisos,0,1975,0,1,0,Camino Leganés,185000,en trámite,49
56,3,1,5,HouseType 1: Pisos,1,1965,0,1,0,no descrito,80000,en trámite,59
43,1,1,0,HouseType 1: Pisos,0,1971,0,1,0,Calle Eduardo Minguito,84000,E,53
72,3,1,3,HouseType 1: Pisos,1,0,1,1,0,no descrito,119900,en trámite,0
100,4,2,1,HouseType 1: Pisos,0,0,1,1,0,no descrito,154900,en trámite,0
70,3,1,4,HouseType 1: Pisos,1,0,1,1,0,no descrito,119900,en trámite,0
60,2,1,0,HouseType 1: Pisos,0,0,0,1,0,no descrito,79900,en trámite,0
60,2,1,2,HouseType 1: Pisos,0,0,0,1,0,no descrito,79900,en trámite,0
91,3,2,3,HouseType 1: Pisos,0,0,0,1,0,no descrito,129900,en trámite,0
74,3,1,2,HouseType 1: Pisos,1,0,0,1,0,no descrito,99900,en trámite,0
110,3,2,5,HouseType 1: Pisos,0,0,1,1,1,"Calle Calcio, 15",275000,en trámite,0
83,3,1,3,HouseType 1: Pisos,0,1966,0,1,0,Calle tordegrillos,91500,en trámite,58
65,2,1,0,HouseType 1: Pisos,1,1982,0,1,0,Calle Covachuelas,86860,en trámite,42
58,3,1,3,HouseType 1: Pisos,0,1966,0,1,0,Calle Concepción de la Oliva,105000,E,58
115,3,2,6,HouseType 1: Pisos,0,2001,1,1,1,Calle de Berrocal,216000,en trámite,23
82,3,1,4,HouseType 1: Pisos,0,1960,0,1,0,Paseo DE LAS MORERAS,120000,en trámite,64
83,3,1,0,HouseType 1: Pisos,0,1985,1,1,0,Calle Huerta de Villaverde,135000,en trámite,39
90,2,1,0,HouseType 1: Pisos,0,2002,1,1,0,Calle de Berrocal,212000,C,22
95,2,2,5,HouseType 1: Pisos,0,2011,1,1,0,GODELLA,184000,en trámite,13
89,3,1,0,HouseType 1: Pisos,0,0,0,1,0,Calle COLONIA BUTANO,160000,en trámite,0
178,4,2,5,HouseType 1: Pisos,0,0,1,1,1,María de Echarri,299990,en trámite,0
59,2,1,2,HouseType 1: Pisos,0,0,0,1,0,Calle Fuente de la Capona,117000,en trámite,0
100,4,1,0,HouseType 1: Pisos,0,0,1,1,0,Calle de la Alegría de la Huerta,165000,en trámite,0
68,3,1,4,HouseType 1: Pisos,1,0,0,1,0,Calle Puerto Lápice,95000,F,0
50,2,1,2,HouseType 1: Pisos,0,0,0,1,0,no descrito,106000,en trámite,0
114,4,2,2,HouseType 1: Pisos,0,1987,1,1,0,no descrito,229000,en trámite,37
81,3,2,3,HouseType 1: Pisos,0,1999,1,1,1,Calle Transversal Sexta,155000,en trámite,25
91,2,2,5,HouseType 1: Pisos,0,2020,1,1,1,villaverde a perales,228208,en trámite,4
95,3,1,3,HouseType 1: Pisos,1,1970,0,1,0,Calle Tántalo,100000,en trámite,54
80,3,1,0,HouseType 1: Pisos,0,0,0,1,0,no descrito,140000,en trámite,0
60,2,1,3,HouseType 1: Pisos,0,1967,0,0,0,Calle de Juan Peñalver,105000,no indicado,57
80,3,1,3,HouseType 1: Pisos,0,1977,1,1,0,Calle Alcocer,165000,en trámite,47
60,2,1,5,HouseType 1: Pisos,0,1960,1,1,0,Rocafort,73000,en trámite,64
50,1,1,6,HouseType 1: Pisos,0,2007,1,1,1,Calle Lenguas,159000,en trámite,17
136,3,1,1,HouseType 1: Pisos,0,1967,0,1,0,no descrito,135990,en trámite,57
96,2,2,7,HouseType 1: Pisos,0,2001,1,1,1,Calle de Eduardo Barreiros,210000,en trámite,23
71,2,2,2,HouseType 1: Pisos,0,2001,1,1,0,Calle de Clara Schumann,198000,en trámite,23
74,2,1,1,HouseType 1: Pisos,0,1966,0,1,0,"Calle Diamante, Madrid",139900,en trámite,58
65,2,1,2,HouseType 1: Pisos,0,1962,0,1,0,Calle Moncada,110000,E,62
93,3,1,9,HouseType 1: Pisos,1,1976,1,1,0,no descrito,160000,en trámite,48
75,3,1,2,HouseType 1: Pisos,0,1968,0,1,0,Paseo de alberto palacios,103000,en trámite,56
63,3,1,0,HouseType 1: Pisos,1,0,0,0,0,"Calle Eduardo Minguito, 13",100000,en trámite,0
65,3,1,4,HouseType 1: Pisos,0,0,0,1,0,no descrito,90000,en trámite,0
115,3,1,1,HouseType 4: Dúplex,0,1975,0,1,0,Paseo de Alberto Palacios,154900,en trámite,49
63,2,1,2,HouseType 1: Pisos,0,0,1,1,0,Calle Benimamet,82260,en trámite,0
72,3,1,6,HouseType 1: Pisos,0,1961,1,1,0,no descrito,139400,en trámite,63
100,2,2,0,HouseType 1: Pisos,0,0,1,1,1,"Calle Principal, 16",154900,en trámite,0
90,3,2,3,HouseType 1: Pisos,0,1998,1,1,1,"Calle Transversal Sexta, 10",155000,C,26
66,3,1,2,HouseType 1: Pisos,0,0,0,1,0,Calle de Beniferri,88000,en trámite,0
102,3,2,5,HouseType 1: Pisos,0,0,1,1,0,"Calle Hermandad de Donantes de Sangre, 1",225000,en trámite,0
105,2,1,6,HouseType 1: Pisos,0,1995,1,1,1,no descrito,189000,en trámite,29
95,4,1,4,HouseType 1: Pisos,0,0,0,1,0,BENITA LOPEZ,138000,en trámite,0
120,3,1,2,HouseType 1: Pisos,0,1962,1,1,0,"Avenida VERBENA DE LA PALOMA, 17",195000,en trámite,62
90,3,2,4,HouseType 1: Pisos,0,2001,1,1,1,"Calle de la Esmaltina, 1",222000,D,23
